Gene	SecondarySource	PrimarySource
CDK7	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CDK8	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CDK9	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
LPAR1	DGI_druggable;DGI_membrane;Curated dataset based on clinical trial drug-target interactions	dGene HopkinsGroom;GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
LPAR6	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GLRA1	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
LPAR4	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
LPAR5	DGI_druggable	dGene RussLampel HopkinsGroom
OBSCN	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene HopkinsGroom;
PTK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
LCN1	DGI_druggable	dGene
PTK7	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PTK6	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
BPI	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ARSH	DGI_druggable	HopkinsGroom
MSH2	Rahul	Prognostic / Diagnostic in colon cancer
ITPR2	DGI_druggable	HopkinsGroom
PRKAA2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PRKAA1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ARSI	DGI_druggable	RussLampel HopkinsGroom
SLC22A12	DGI_druggable;TherapeuticTargetsDatabase	RussLampel;
CYP17A1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ALOX15	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
RAP2A	DrugBank	
MCL1	DGI_druggable;Rahul;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;Amplification may predict resistance to anti-tubulin chemotherapy;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CRK	TherapeuticTargetsDatabase	
HMGCL	DrugBank	
PRKX	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
OR14I1	DGI_druggable	dGene RussLampel HopkinsGroom
ODC1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ACCS	DrugBank	
IFNGR2	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PPP3CB	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MPP3	DGI_membrane	GO
COX5B	DrugBank	
INPPL1	DGI_druggable	RussLampel HopkinsGroom
SCARA5	DGI_druggable;DGI_membrane	RussLampel HopkinsGroom;GO
ADCK4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene;
ADCK5	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene;
XCR1	DGI_druggable	dGene RussLampel HopkinsGroom
ADCK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene;
ADCK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene;
OR10Q1	DGI_druggable	dGene RussLampel HopkinsGroom
HSPD1	DGI_membrane	GO
SCN2A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
FUT4	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
DNAJC10	DGI_druggable	RussLampel HopkinsGroom
EPRS	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
EIF5A	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
AMD1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PRKCI	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PRKCH	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MATN3	DGI_druggable	RussLampel
MATN2	DGI_druggable	RussLampel
CHRND	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
DHH	DGI_druggable	dGene
PRKCA	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PRKCB	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PRKCE	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PRKCD	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PRKCG	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
GPR27	DGI_druggable	dGene RussLampel HopkinsGroom
CES1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CES3	DGI_druggable	RussLampel HopkinsGroom
PRKCZ	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
LMAN1	DrugBank	
PADI4	DrugBank	
CDK20	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PRKCQ	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
FFAR3	DGI_druggable	dGene RussLampel HopkinsGroom
UCP2	DGI_druggable	RussLampel
FFAR1	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;
AGTPBP1	DGI_druggable	dGene RussLampel HopkinsGroom
ENDOU	DGI_druggable	dGene
PM20D2	DGI_druggable	dGene
NRK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
OR8B2	DGI_druggable	dGene HopkinsGroom
SEC11C	DGI_druggable	dGene
ALKBH2	DrugBank	
OR10AG1	DGI_druggable	dGene RussLampel HopkinsGroom
PFKFB1	DrugBank	
GPIHBP1	DGI_membrane	GO
RDH11	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PFKFB4	DrugBank	
OR52M1	DGI_druggable	dGene RussLampel HopkinsGroom
GPR135	DGI_druggable	dGene RussLampel HopkinsGroom
TYMS	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
TYMP	DGI_druggable;DrugBank	HopkinsGroom;
GPR133	DGI_druggable	dGene RussLampel HopkinsGroom
GPR132	DGI_druggable	dGene RussLampel HopkinsGroom
NDUFS2	DrugBank	
ATP6V1C1	DrugBank	
GPR139	DGI_druggable	dGene HopkinsGroom
OR4X1	DGI_druggable	dGene RussLampel HopkinsGroom
OR4X2	DGI_druggable	dGene RussLampel HopkinsGroom
PLCD3	DGI_druggable	RussLampel HopkinsGroom
FLVCR2	DGI_druggable	RussLampel
FLVCR1	DGI_druggable	RussLampel
FKBP15	DGI_druggable	RussLampel HopkinsGroom
ACTG1	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
FKBP10	DGI_druggable	RussLampel HopkinsGroom
FKBP11	DGI_druggable	RussLampel HopkinsGroom
PLCD1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PPIL1	DGI_druggable	RussLampel
PPIL2	DGI_druggable	RussLampel
PPIL3	DGI_druggable	RussLampel
PPIL4	DGI_druggable	RussLampel
PKD2L2	DGI_druggable	RussLampel
OR4C15	DGI_druggable	dGene RussLampel HopkinsGroom
KCNB2	DGI_druggable	RussLampel HopkinsGroom
CWC27	DGI_druggable	RussLampel
GDNF	DrugBank	
NIM1K	KinasesWitteLab	
MAP3K8	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
MAP3K9	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
TRIM10	DGI_druggable	HopkinsGroom
HLA-B	DrugBank	
MAP3K2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MAP3K3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
CNGB3	DGI_druggable	RussLampel HopkinsGroom
MAP3K1	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Possibly prognostic in breast cancer;;;
MAP3K6	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
RNPEPL1	DGI_druggable	dGene RussLampel
MAP3K4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MAP3K5	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PLA2G6	DrugBank	
PLA2G7	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TPSG1	DGI_druggable	dGene RussLampel HopkinsGroom
PLA2G5	DGI_druggable;DGI_membrane;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PLA2G3	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GSTA5	DrugBank	
TRPV5	DGI_druggable	RussLampel HopkinsGroom
TRPV4	DGI_druggable	RussLampel HopkinsGroom
TRPV6	DGI_druggable	RussLampel HopkinsGroom
TRPV1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PRTN3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
TRPV2	DGI_druggable	RussLampel HopkinsGroom
ERBB2	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Amplifications and mutations predict sensitivity to anti-Her2 therapy.;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
ERBB3	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Alterations may be sensitive to pertuzumab or novel HER3 inhibitors;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CTSK	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
HAL	DrugBank	
TBXAS1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ERBB4	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Mutations may predict sensitivity to Lapatinib and other anti-EGF family inhibitors;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CTSO	DGI_druggable	dGene RussLampel HopkinsGroom
OR2G3	DGI_druggable	dGene RussLampel HopkinsGroom
OR2G2	DGI_druggable	dGene RussLampel HopkinsGroom
CTSB	DGI_druggable;DGI_membrane;DrugBank	dGene RussLampel HopkinsGroom;GO;
CTSC	DGI_druggable	dGene RussLampel HopkinsGroom
CTSD	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
CTSE	DGI_druggable	dGene RussLampel HopkinsGroom
CTSF	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
PASK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
B4GALT1	DGI_membrane;DrugBank	GO;
CTSZ	DGI_druggable	dGene RussLampel
RPL11	DrugBank	
OMA1	DGI_druggable	dGene
ITFG3	DGI_druggable	RussLampel
FGFR4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
CTSS	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;
FGFR2	KinasesCuratedByOlenaSofie;DGI_druggable;DGI_membrane;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;GO;Alterations may predict sensitivity to FGFR inhibitors;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
FGFR3	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Alterations may predict sensitivity to FGFR inhibitors;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
SETD7	DrugBank	
FGFR1	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Amplification may predict resistance to hormonal therapy in breast cancer.  Amplification may predict sensitivity to FGFR inhibitors;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
PCYT1A	DrugBank	
INPP5A	DGI_druggable	RussLampel HopkinsGroom
INPP5B	DGI_druggable;DrugBank	HopkinsGroom;
PCYT1B	DrugBank	
INPP5D	DGI_druggable	RussLampel HopkinsGroom
ADH5	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
NME2	DrugBank	
MOCOS	DrugBank	
SYK	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Activating mutations may predict sensitivity to Syk inhibitors;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
INPP5J	DGI_druggable	RussLampel HopkinsGroom
INPP5K	DGI_druggable	RussLampel HopkinsGroom
NME8	DGI_druggable	RussLampel HopkinsGroom
NME9	DGI_druggable	RussLampel HopkinsGroom
B4GALT4	DrugBank	
ABO	DrugBank	
PRSS27	DGI_druggable	dGene RussLampel HopkinsGroom
FKBP1B	DGI_druggable	RussLampel HopkinsGroom
PRSS21	DGI_druggable	dGene RussLampel HopkinsGroom
PRSS22	DGI_druggable	dGene RussLampel HopkinsGroom
PRSS23	DGI_druggable	dGene RussLampel HopkinsGroom
SLC25A10	DGI_druggable;DrugBank	RussLampel;
LXN	DGI_druggable	dGene
PGK1	DrugBank	
UCP1	DGI_druggable	RussLampel
TNNC1	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
RGR	DGI_druggable	dGene RussLampel HopkinsGroom
RBCK1	DGI_druggable	RussLampel HopkinsGroom
OR9A4	DGI_druggable	dGene RussLampel HopkinsGroom
DUOX1	DGI_druggable	RussLampel HopkinsGroom
DUOX2	DGI_druggable	RussLampel HopkinsGroom
EPB42	DGI_druggable	RussLampel HopkinsGroom
LSM6	DrugBank	
MAEA	DrugBank	
EPHX2	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
MIP	DGI_druggable	dGene
IL1RN	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
IDH3B	DrugBank	
KIAA0195	DGI_druggable	HopkinsGroom
NT5M	DrugBank	
DCTD	DrugBank	
NT5E	DrugBank;Computationally obtained list of cell surface genes	;Publication_da_Cunha_etal_PMID_19805368
CTGF	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TUBB6	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
SLCO4C1	DGI_druggable;DrugBank	RussLampel;
CARD8	DGI_druggable	dGene
RRM2B	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
RARRES1	DrugBank	
SMPD1	DrugBank	
KIF1A	DrugBank	
ALDH16A1	DGI_druggable	RussLampel HopkinsGroom
NUDT9	DrugBank	
KCNJ8	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
NPPB	DrugBank	
MAP1A	DrugBank	
NAGA	DrugBank	
DHRS13	DGI_druggable	RussLampel HopkinsGroom
INTU	DGI_membrane	GO
STK40	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
ADAMTS4	DGI_druggable	dGene RussLampel
TNFSF13	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PSMB8	DGI_druggable	dGene
GRIK2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
UNC5D	DGI_membrane	GO
TUBB3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PSMB7	DGI_druggable;DrugBank	dGene;
MAN2A1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
DECR2	DGI_druggable	RussLampel HopkinsGroom
IMMP1L	DGI_druggable	dGene
ADAMTS1	DGI_druggable	dGene RussLampel
DECR1	DGI_druggable;DrugBank	RussLampel;
ATP2B4	DGI_druggable	RussLampel HopkinsGroom
ABCA10	DGI_druggable	RussLampel
HERC1	DGI_druggable	HopkinsGroom
ABCA12	DGI_druggable	RussLampel
ABCA13	DGI_druggable	RussLampel
TP53	DGI_druggable;Rahul;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;Biallelic inactivation or mutation may be prognostic in some tumor types.  They may also predict sensitivity to some cell cycle inhibitors and p53 specific gene therapies or immunotherapies. May signal the presence of a germline mutation.;;
OR5C1	DGI_druggable	dGene RussLampel HopkinsGroom
GNAS	Rahul;DrugBank	Mutations may be diagnostic of tumors arising in McCune-Albright syndrome, and may be targetable with JAK inhibitors;
EIF2S3	DrugBank	
SMPD3	DGI_druggable;DrugBank	RussLampel;
SPR	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
AMOT	DGI_membrane	GO
COL12A1	DGI_druggable	RussLampel
